DOCUMENT INFORMATION,PRIMARY CASE INFORMATION,PRIMARY CASE DATE,STATE,TREATMENT,TREATED CASE INFORMATION,TREATED CASE DATE
"Supreme Court of Minnesota. January 04, 1929 176 Minn. 156 222 N.W. 913
Extracted from page: 5
","Mix v. Downing, No. 26939, 176 Minn. 156, 222 N.W. 913 (Minn. Jan. 04, 1929)
","Jan. 04, 1929",Minnesota,Overruled by," 1.  Johnson v. O’Brien  
105 N.W.2d 244 , 258 Minn. 502 , 88 A.L.R.2d 577 , Minn. , (NO. 37800 , 37801 )
","July 29, 1960"
"Supreme Court of Minnesota. October 24, 1895 62 Minn. 278 64 N.W. 812
Extracted from page: 7
","Gullikson v. McDonald, 62 Minn. 278, 64 N.W. 812 (Minn. Oct. 24, 1895)
","Oct. 24, 1895",Minnesota,Abrogated by," 1.  McCorkell v. City of Northfield 
123 N.W.2d 367 , 266 Minn. 267 , Minn. , (NO. 38767 )
","Aug. 16, 1963"
"Supreme Court of Minnesota. April 25, 1895 60 Minn. 522 63 N.W. 101
Extracted from page: 8
","Minneapolis & N. Elevator Co. v. Board of Com'rs of Clay County, 60 Minn. 522, 63 N.W. 101 (Minn. Apr. 25, 1895)
","Apr. 25, 1895",Minnesota,Overruled by," 1.  State v. Red River Valley Elevator Co. 
72 N.W. 60 , 69 Minn. 131 , Minn.
","June 29, 1897"
"Supreme Court of Minnesota. May 23, 1895 61 Minn. 154 63 N.W. 484
Extracted from page: 11
","Marvin v. Foster, 61 Minn. 154, 63 N.W. 484, 52 Am. St. Rep. 586 (Minn. May 23, 1895)
","May 23, 1895",Minnesota,Overruled by," 1.  Amplatz v. Amplatz 
289 N.W.2d 164 , Minn. , (NO. 49920 )
","Feb. 01, 1980"
"Supreme Court of Minnesota. July 25, 1887 37 Minn. 274 34 N.W. 29
Extracted from page: 13
","Weber v. Timlin, 37 Minn. 274, 34 N.W. 29 (Minn. July 25, 1887)
","July 25, 1887",Minnesota,Overruled by," 1.  Consolidated School Dist. No. 30 v. Christianson 
208 N.W. 409 , 167 Minn. 45 , Minn. , (NO. 25153 )
","Apr. 09, 1926"
"Supreme Court of Minnesota. July 29, 1887 37 Minn. 335 33 N.W. 910
Extracted from page: 13
","Mitchell v. Wilkins, 37 Minn. 335, 33 N.W. 910 (Minn. July 29, 1887)
","July 29, 1887",Minnesota,Overruled by," 1.  State v. Northwestern Nat. Bank of Minneapolis 
18 N.W.2d 569 , 219 Minn. 471 , Minn. , (NO. 33941 , 33942 , 33945 , 33946 )
","Apr. 13, 1945"
"Supreme Court of Minnesota. May 13, 1887 37 Minn. 15 33 N.W. 115
Extracted from page: 14
","City of St. Paul v. Umstetter, 37 Minn. 15, 33 N.W. 115 (Minn. May 13, 1887)
","May 13, 1887",Minnesota,Overruled by," 1.  State v. Paulick 
151 N.W.2d 591 , 277 Minn. 140 , Minn. , (NO. 40600 )
","June 23, 1967"
"Supreme Court of Minnesota. March 04, 1887 36 Minn. 473 31 N.W. 938
Extracted from page: 14
","La Du-King Mfg. Co. v. La Du, 36 Minn. 473, 31 N.W. 938 (Minn. Mar. 04, 1887)
","Mar. 04, 1887",Minnesota,Overruled by," 1.  Wise v. Midtown Motors 
42 N.W.2d 404 , 231 Minn. 46 , 20 A.L.R.2d 735 , Minn. , (NO. 35021 )
","Apr. 28, 1950"
"Supreme Court of Minnesota. December 13, 1887 37 Minn. 533 35 N.W. 377
Extracted from page: 16
","Rockwood v. Davenport, 37 Minn. 533, 35 N.W. 377, 5 Am. St. Rep. 872 (Minn. Dec. 13, 1887)
","Dec. 13, 1887",Minnesota,Overruled by," 1.  Clark v. Butts 
76 N.W. 199 , 73 Minn. 361 , Minn.
","July 15, 1898"
"Supreme Court of Minnesota. May 14, 1937 199 Minn. 622 273 N.W. 233
Extracted from page: 17
","State ex rel. Connolly v. Parks, No. 31389, 199 Minn. 622, 273 N.W. 233 (Minn. May 14, 1937)
","May 14, 1937",Minnesota,Overruled by," 1.  State v. Paulick  
151 N.W.2d 591 , 277 Minn. 140 , Minn. , (NO. 40600 )
","June 23, 1967"
