DOCUMENT INFORMATION,PRIMARY CASE INFORMATION,PRIMARY CASE DATE,STATE,TREATMENT,TREATED CASE INFORMATION,TREATED CASE DATE
"Supreme Court of Tennessee. April 02, 1979 584 S.W.2d 758
Extracted from page: 26
","Miller v. State, 584 S.W.2d 758 (Tenn. Apr. 02, 1979)
","Apr. 02, 1979",Tennessee,Overruled by," 1.  State v. Pruitt  
510 S.W.3d 398 , Tenn. , (NO. M201302393SCR11CD )
","Dec. 30, 2016"
"Supreme Court of Tennessee. March 06, 1953 31 Beeler 63 195 Tenn. 63
Extracted from page: 26
","Tennessee Products & Chemical Corp. v. Dickinson, 195 Tenn. 63, 256 S.W.2d 709, 31 Beeler 63 (Tenn. Mar. 06, 1953)
","Mar. 06, 1953",Tennessee,Overruled by," 1.  General Elec. Co. v. Butler 
364 S.W.2d 361 , 15 McCanless 196 , 211 Tenn. 196 , Tenn.
","Nov. 09, 1962"
"Supreme Court of Tennessee. March 06, 1953 31 Beeler 265 195 Tenn. 265
Extracted from page: 28
","State ex rel. Haywood v. Superintendent, Davidson County Workhouse, 195 Tenn. 265, 259 S.W.2d 159, 31 Beeler 265 (Tenn. Mar. 06, 1953)
","Mar. 06, 1953",Tennessee,Overruled by," 1.  Bankston v. State 
908 S.W.2d 194 , Tenn. , (NO. 03S01-9409-CR-00089 )
","Sep. 25, 1995"
"Supreme Court of Tennessee. April 01, 1848 27 Tenn. 656 1848 WL 1795
Extracted from page: 31
","Hunter v. Starkes, 27 Tenn. 656, 8 Hum. 656, 1848 WL 1795 (Tenn. Apr. 01, 1848)
","Apr. 01, 1848",Tennessee,Overruled by," 1.  Warren v. Cleveland 
76 S.W. 910 , 3 Cates 174 , 111 Tenn. 174 , 102 Am.St.Rep. 749 , Tenn.
","Oct. 10, 1903"
"Supreme Court of Tennessee. December 01, 1848 28 Tenn. 246 1848 WL 1856
Extracted from page: 32
","Phillips v. State, 28 Tenn. 246, 49 Am. Dec. 709, 9 Hum. 246, 1848 WL 1856 (Tenn. Dec. 01, 1848)
","Dec. 01, 1848",Tennessee,Overruled by," 1.  State v. Kendricks 
891 S.W.2d 597 , Tenn. , (NO. 03-S-01-9309-CR00056 )
","Dec. 05, 1994"
"Supreme Court of Tennessee. September 01, 1848 29 Tenn. 24 1848 WL 1911
Extracted from page: 32
","Crutsinger v. Catron, 29 Tenn. 24, 10 Hum. 24, 1848 WL 1911 (Tenn. Sep. 01, 1848)
","Sep. 01, 1848",Tennessee,Overruled by," 1.  Marr’s Heirs v. Gilliam 
41 Tenn. 488 , 1860 WL 3085 , 1 Cold. 488 , Tenn.
","Dec. 01, 1860"
"Supreme Court of Tennessee. December 01, 1849 29 Tenn. 346 1849 WL 2192
Extracted from page: 32
","Brown v. Barker, 29 Tenn. 346, 10 Hum. 346, 1849 WL 2192 (Tenn. Dec. 01, 1849)
","Dec. 01, 1849",Tennessee,Overruled by," 1.  Mullins v. State 
304 S.W.2d 333 , 6 McCanless 354 , 202 Tenn. 354 , Tenn.
","May 03, 1957"
"Supreme Court of Tennessee. March 01, 1871 51 Tenn. 74 1871 WL 3633
Extracted from page: 33
","Gray v. Robb, 51 Tenn. 74, 4 Heisk. 74, 1871 WL 3633 (Tenn. Mar. 01, 1871)
","Mar. 01, 1871",Tennessee,Overruled by," 1.  Parker v. Parker 
72 Tenn. 392 , 1880 WL 4515 , 4 Lea 392 , Tenn.
","Apr. 01, 1880"
"Supreme Court of Tennessee. October 14, 1871 53 Tenn. 329 1871 WL 3864
Extracted from page: 34
","Wilkhorn v. Gillespie, 53 Tenn. 329, 6 Heisk. 329, 1871 WL 3864 (Tenn. Oct. 14, 1871)
","Oct. 14, 1871",Tennessee,Overruled by," 1.  Williams v. Lenoir 
67 Tenn. 395 , 1875 WL 4634 , 8 Baxt. 395 , Tenn.
","Sep. 01, 1875"
"Supreme Court of Tennessee. January 28, 1871 49 Tenn. 629 1871 WL 3548
Extracted from page: 35
","McCarver v. Jenkins, 49 Tenn. 629, 2 Heisk. 629, 1871 WL 3548 (Tenn. Jan. 28, 1871)
","Jan. 28, 1871",Tennessee,Overruled by," 1.  Griffin v. Campbell Clinic, P.A.  
439 S.W.3d 899 , Tenn. , (NO. W2013-00471-SC-R11CV )
","July 21, 2014"
"Supreme Court of Tennessee. October 14, 1871 53 Tenn. 347 1871 WL 3867
Extracted from page: 36
","Nashville & C. R. Co. v. Carroll, 53 Tenn. 347, 6 Heisk. 347, 1871 WL 3867 (Tenn. Oct. 14, 1871)
","Oct. 14, 1871",Tennessee,Abrogated by," 1.  McIntyre v. Balentine 
833 S.W.2d 52 , 60 USLW 2764 , Tenn.
","May 04, 1992"
"Supreme Court of Tennessee. February 15, 1871 50 Tenn. 614 1871 WL 3619
Extracted from page: 36
","Fulton v. Davidson, 50 Tenn. 614, 3 Heisk. 614, 1871 WL 3619 (Tenn. Feb. 15, 1871)
","Feb. 15, 1871",Tennessee,Overruled by," 1.  Holding v. Allen 
266 S.W. 772 , 150 Tenn. 669 , 36 A.L.R. 743 , 23 Thompson 669 , Tenn.
","Dec. 13, 1924"
