DOCUMENT INFORMATION,PRIMARY CASE INFORMATION,PRIMARY CASE DATE,STATE,TREATMENT,TREATED CASE INFORMATION,TREATED CASE DATE
"Supreme Court of Missouri. November 09, 1891 107 Mo. 58 17 S.W. 698
Extracted from page: 43
","Shaffer v. Kugler, 107 Mo. 58, 17 S.W. 698 (Mo. Nov. 09, 1891)
","Nov. 09, 1891",Missouri,Overruled by," 1.  McBreen v. McBreen 
55 S.W. 463 , 154 Mo. 323 , 77 Am.St.Rep. 758 , Mo.
","Feb. 20, 1900"
"1. June 29, 1891 105 Mo. 537 16 S.W. 913
Extracted from page: 43
","Fath v. Tower Grove & L. Ry., 105 Mo. 537, 16 S.W. 913, 13 L.R.A. 74 (Mo. June 29, 1891)
","June 29, 1891",Missouri,Overruled by," 1.  Sluder v. St. Louis Transit Co.  
88 S.W. 648 , 189 Mo. 107 , 5 L.R.A.N.S. 186 , Mo.
","June 01, 1905"
"Supreme Court of Missouri. January 19, 1891 102 Mo. 522 15 S.W. 62
Extracted from page: 44
","Kelly v. Thuey, 102 Mo. 522, 15 S.W. 62 (Mo. Jan. 19, 1891)
","Jan. 19, 1891",Missouri,Overruled by," 1.  Kelly v. Thuey 
45 S.W. 300 , 143 Mo. 422 , Mo.
","Mar. 29, 1898"
"1. February 02, 1891 103 Mo. 52 15 S.W. 320
Extracted from page: 45
","Perkins v. St. Louis, I.M. & S. Ry. Co., 103 Mo. 52, 15 S.W. 320, 11 L.R.A. 426 (Mo. Feb. 02, 1891)
","Feb. 02, 1891",Missouri,Overruled by," 1.  Paddock v. Missouri Pac. Ry. Co. 
56 S.W. 453 , 155 Mo. 524 , Mo.
","Mar. 27, 1900"
"2. January 27, 1891 102 Mo. 620 15 S.W. 149
Extracted from page: 46
","State v. McKenzie, 102 Mo. 620, 15 S.W. 149 (Mo. Jan. 27, 1891)
","Jan. 27, 1891",Missouri,Overruled by," 1.  State v. Evans 
28 S.W. 8 , 124 Mo. 397 , Mo.
","Nov. 05, 1894"
"1. June 09, 1947 203 S.W.2d 467
Extracted from page: 47
","Maxey v. Maxey, No. 40053, 203 S.W.2d 467 (Mo. June 09, 1947)
","June 09, 1947",Missouri,Overruled by," 1.  Jenkins v. Jenkins 
251 S.W.2d 243 , Mo. , (NO. 42985 )
","Sep. 08, 1952"
"10, 1947 356 Mo. 1239 206 S.W.2d 539
Extracted from page: 52
","City of Springfield v. Clouse, No. 40127, 356 Mo. 1239, 206 S.W.2d 539 (Mo. Nov. 10, 1947)
","Nov. 10, 1947",Missouri,Overruled by," 1.  Independence-Nat. Educ. Ass’n v. Independence School Dist.  
223 S.W.3d 131 , 181 L.R.R.M. (BNA) 3224 , 154 Lab.Cas. P 60,416 , 221 Ed. Law Rep. 398 , Mo. , (NO. SC 87980 )
","May 29, 2007"
"Supreme Court of Missouri. April 01, 1886 88 Mo. 648 1886 WL 5213
Extracted from page: 53
","State v. Russell, 88 Mo. 648, 1886 WL 5213 (Mo. Apr. 01, 1886)
","Apr. 01, 1886",Missouri,Overruled by," 1.  State v. Smith 
267 S.W. 869 , 306 Mo. 451 , Mo. , (NO. 25755 )
","Dec. 31, 1924"
"Supreme Court of Missouri. October 01, 1886 91 Mo. 228 4 S.W. 91
Extracted from page: 56
","Ex parte Marmaduke, 91 Mo. 228, 4 S.W. 91, 60 Am. Rep. 250 (Mo. Oct. 01, 1886)
","Oct. 01, 1886",Missouri,Overruled by," 1.  State ex rel. Rudolph v. Ryan 
38 S.W.2d 717 , 327 Mo. 728 , Mo. , (NO. 30993 )
","Apr. 30, 1931"
"Supreme Court of Missouri. January 01, 1857 24 Mo. 252 1857 WL 5388
Extracted from page: 56
","Johnson v. Noble, 24 Mo. 252, 1857 WL 5388 (Mo. 1857)
","June 15, 1857",Missouri,Overruled by," 1.  Thornton v. Thornton 
27 Mo. 302 , 1858 WL 5910 , 72 Am.Dec. 266 , Mo.
","Oct. 01, 1858"
"Supreme Court of Missouri. March 01, 1857 25 Mo. 111 1857 WL 5469
Extracted from page: 57
","State v. Nueslein, 25 Mo. 111, 1857 WL 5469 (Mo. Mar. 01, 1857)
","Mar. 01, 1857",Missouri,Overruled by," 1.  State v. Shock 
68 Mo. 552 , 1878 WL 9686 , Mo.
","Oct. 01, 1878"
"Supreme Court of Missouri. January 01, 1857 24 Mo. 385 1857 WL 5426
Extracted from page: 57
","Bompart v. Roderman, 24 Mo. 385, 1857 WL 5426 (Mo. Mar. 01, 1857)
","Mar. 01, 1857",Missouri,Overruled by," 1.  Waugh v. Blumenthal 
28 Mo. 462 , 1859 WL 6635 , Mo.
","Mar. 01, 1859"
"1. February 14, 1949 358 Mo. 904 217 S.W.2d 551
Extracted from page: 58
","State v. Humphrey, No. 40951, 358 Mo. 904, 217 S.W.2d 551 (Mo. Feb. 14, 1949)
","Feb. 14, 1949",Missouri,Overruled by," 1.  State v. Hardy  
276 S.W.2d 90 , 365 Mo. 107 , Mo. , (NO. 44045 )
","Mar. 14, 1955"
"1. July 11, 1949 222 S.W.2d 84
Extracted from page: 59
","Liese v. Sackbauer, No. 41132, 222 S.W.2d 84 (Mo. July 11, 1949)
","July 11, 1949",Missouri,Overruled by," 1.  Powell v. St. Louis County 
559 S.W.2d 189 , Mo. , (NO. 60160 )
","Dec. 19, 1977"
"2. May 09, 1949 359 Mo. 209 221 S.W.2d 210
Extracted from page: 59
","Padgett v. Osborne, No. 40882, 359 Mo. 209, 221 S.W.2d 210 (Mo. May 09, 1949)
","May 09, 1949",Missouri,Overruled by," 1.  Davis v. Roberts  
295 S.W.2d 152 , 365 Mo. 1195 , Mo. , (NO. 44942 )
","Nov. 12, 1956"
"19, 1918 276 Mo. 663 208 S.W. 828
Extracted from page: 60
","Dalton v. Missouri, K. & T. Ry. Co., No. 18813, 276 Mo. 663, 208 S.W. 828 (Mo. Dec. 19, 1918)
","Dec. 19, 1918",Missouri,Overruled by," 1.  McClanahan v. St. Louis Public Service Co. 
251 S.W.2d 704 , 363 Mo. 500 , Mo. , (NO. 42901 )
","Oct. 13, 1952"
"1. June 04, 1918 275 Mo. 677 205 S.W. 620
Extracted from page: 60
","Ex parte Webers, No. 20,647, 275 Mo. 677, 205 S.W. 620 (Mo. June 04, 1918)
","June 04, 1918",Missouri,Overruled by," 1.  Child Sav. Institute v. Knobel 
37 S.W.2d 920 , 327 Mo. 609 , 76 A.L.R. 1068 , Mo. , (NO. 30591 )
","Apr. 07, 1931"
"19, 1918 276 Mo. 612 208 S.W. 462
Extracted from page: 61
","Bernhardt v. Perry, 276 Mo. 612, 208 S.W. 462, 13 A.L.R. 1320 (Mo. Dec. 19, 1918)
","Dec. 19, 1918",Missouri,Overruled by," 1.  Novak v. Kansas City Transit, Inc.  
365 S.W.2d 539 , Mo. , (NO. 49233 )
","Mar. 11, 1963"
"09, 2007 211 S.W.3d 93 2007 WL 60526
Extracted from page: 1
","In re C.W., No. SC88049, 211 S.W.3d 93, 2007 WL 60526 (Mo. Jan. 09, 2007)
","Jan. 09, 2007",Missouri,Abrogated by," 1.  In re B.H. 
348 S.W.3d 770 , Mo. , (NO. SC91584 )
","Oct. 04, 2011"
"13, 2007 218 S.W.3d 417 2007 WL 755430
Extracted from page: 2
","Neske v. City of St. Louis, No. SC 87976, 218 S.W.3d 417, 2007 WL 755430 (Mo. Mar. 13, 2007)
","Mar. 13, 2007",Missouri,Overruled by," 1.  King-Willmann v. Webster Groves School Dist. 
361 S.W.3d 414 , 278 Ed. Law Rep. 1141 , Mo. , (NO. SC92125 )
","Mar. 06, 2012"
"04, 2003 98 S.W.3d 530 2003 WL 723292
Extracted from page: 3
","Brooks v. Brooks, No. SC 84748, 98 S.W.3d 530, 2003 WL 723292 (Mo. Mar. 04, 2003)
","Mar. 04, 2003",Missouri,Overruled by," 1.  Meadowfresh Solutions USA, LLC v. Maple Grove Farms, LLC  
578 S.W.3d 758 , Mo. , (NO. SC 97689 )
","Aug. 13, 2019"
"17, 2003 107 S.W.3d 240 2003 WL 21386324
Extracted from page: 5
","Landman v. Ice Cream Specialties, Inc., No. SC 84933, 107 S.W.3d 240, 2003 WL 21386324 (Mo. June 17, 2003)
","June 17, 2003",Missouri,Overruled by," 1.  Hampton v. Big Boy Steel Erection 
121 S.W.3d 220 , Mo. , (NO. SC85456 )
","Dec. 09, 2003"
"30, 2003 119 S.W.3d 543 2003 WL 22792243
Extracted from page: 5
","Verdoorn v. Director of Revenue, No. SC 85101, 119 S.W.3d 543, 2003 WL 22792243 (Mo. Sep. 30, 2003)
","Sep. 30, 2003",Missouri,Overruled by," 1.  White v. Director of Revenue  
321 S.W.3d 298 , Mo. , (NO. SC90400 )
","Aug. 03, 2010"
"25, 2003 120 S.W.3d 196 2003 WL 22784342
Extracted from page: 6
","State v. Avery, No. SC85300, 120 S.W.3d 196, 3 A.L.R.6th 809, 2003 WL 22784342 (Mo. Nov. 25, 2003)
","Nov. 25, 2003",Missouri,Overruled by," 1.  State v. Barnett  
577 S.W.3d 124 , Mo. , (NO. SC 96138 )
","July 16, 2019"
"17, 2003 107 S.W.3d 253 2003 WL 21386284
Extracted from page: 7
","State v. Whitfield, No. SC 77067, 107 S.W.3d 253, 2003 WL 21386284 (Mo. June 17, 2003)
","June 17, 2003",Missouri,Abrogated by," 1.  State v. Wood  
580 S.W.3d 566 , Mo. , (NO. SC 96924 )
","July 16, 2019"
"Supreme Court of Missouri. January 01, 1844 8 Mo. 382 1844 WL 3923
Extracted from page: 8
","St. John v. Homans, 8 Mo. 382, 1844 WL 3923 (Mo. 1844)
","June 15, 1844",Missouri,Overruled by," 1.  Morrison v. McCartney 
30 Mo. 183 , 1860 WL 6002 , Mo.
","Mar. 01, 1860"
"05, 1991 804 S.W.2d 743 1991 WL 27337
Extracted from page: 9
","West v. Posten Const. Co., No. 73199, 804 S.W.2d 743, 1991 WL 27337 (Mo. Mar. 05, 1991)
","Mar. 05, 1991",Missouri,Overruled by," 1.  Hampton v. Big Boy Steel Erection 
121 S.W.3d 220 , Mo. , (NO. SC85456 )
","Dec. 09, 2003"
