DOCUMENT INFORMATION,PRIMARY CASE INFORMATION,PRIMARY CASE DATE,STATE,TREATMENT,TREATED CASE INFORMATION,TREATED CASE DATE
"Supreme Court of Alabama. January 01, 1873 49 Ala. 137 1873 WL 769
Extracted from page: 29
","Green's Adm'r v. Scarborough, 49 Ala. 137, 1873 WL 769 (Ala. 1873)
","June 15, 1873",Alabama,Overruled by," 1.  Hooper v. Scarborough 
57 Ala. 510 , 1877 WL 1173 , Ala.
","Dec. 01, 1877"
"Supreme Court of Alabama. June 01, 1873 49 Ala. 468 1873 WL 870
Extracted from page: 29
","Bibb v. Hitchcock, 49 Ala. 468, 20 Am. Rep. 288, 1873 WL 870 (Ala. June 01, 1873)
","June 01, 1873",Alabama,Overruled by," 1.  United States Fidelity & Guaranty Co. v. Charles
31 So. 558 , 131 Ala. 658 , 57 L.R.A. 212 , Ala.
","Dec. 18, 1901"
"Supreme Court of Alabama. June 01, 1873 49 Ala. 468 1873 WL 870
Extracted from page: 29
","Bibb v. Hitchcock, 49 Ala. 468, 20 Am. Rep. 288, 1873 WL 870 (Ala. June 01, 1873)
","June 01, 1873",Alabama,Overruled by," 2.  Folmar v. Siler 
31 So. 719 , 132 Ala. 297 , Ala.
","Feb. 13, 1902"
"Supreme Court of Alabama. June 25, 1891 93 Ala. 192 9 So. 734
Extracted from page: 1
","McGhee v. Importers' & Traders' Nat. Bank, 93 Ala. 192, 9 So. 734 (Ala. June 25, 1891)
","June 25, 1891",Alabama,Overruled by," 1.  Noble v. Gilliam 
33 So. 861 , 136 Ala. 618 , Ala.
","Feb. 28, 1903"
"Supreme Court of Alabama. April 16, 1891 92 Ala. 399 9 So. 200
Extracted from page: 1
","Kennon v. Western Union Telegraph Co., 92 Ala. 399, 9 So. 200 (Ala. Apr. 16, 1891)
","Apr. 16, 1891",Alabama,Overruled by," 1.  Manker v. Western Union Telegraph Co. 
34 So. 839 , 137 Ala. 292 , Ala.
","Dec. 18, 1902"
"Supreme Court of Alabama. June 17, 1891 93 Ala. 133 9 So. 525
Extracted from page: 1
","Birmingham Union Ry. Co. v. Alexander, 93 Ala. 133, 9 So. 525 (Ala. June 17, 1891)
","June 17, 1891",Alabama,Overruled by," 1.  City of Birmingham v. Starr 
20 So. 424 , 112 Ala. 98 , Ala.
","May 28, 1896"
"Supreme Court of Alabama. February 12, 1891 91 Ala. 635 9 So. 77
Extracted from page: 1
","Williams v. South & N.A.R. Co., 91 Ala. 635, 9 So. 77 (Ala. Feb. 12, 1891)
","Feb. 12, 1891",Alabama,Overruled by," 1.  Louisville & N. R. Co. v. Bogue  
58 So. 392 , 177 Ala. 349 , Ala.
","Apr. 11, 1912"
"Supreme Court of Alabama. January 07, 1891 91 Ala. 39 8 So. 688
Extracted from page: 2
","Fonville v. State, 91 Ala. 39, 8 So. 688 (Ala. Jan. 07, 1891)
","Jan. 07, 1891",Alabama,Overruled by," 1.  Whitten v. State 
22 So. 483 , 115 Ala. 72 , Ala.
","June 16, 1897"
"Supreme Court of Alabama. June 25, 1891 92 Ala. 630 9 So. 738
Extracted from page: 2
","Cobb v. Malone, 92 Ala. 630, 9 So. 738 (Ala. June 25, 1891)
","June 25, 1891",Alabama,Overruled by," 1.  Jawad v. Granade  
497 So.2d 471 , Ala. , (NO. 84-933 )
","Sep. 26, 1986"
"Supreme Court of Alabama. January 30, 1891 90 Ala. 602 8 So. 858
Extracted from page: 3
","Martin v. State, 90 Ala. 602, 8 So. 858, 24 Am. St. Rep. 844 (Ala. Jan. 30, 1891)
","Jan. 30, 1891",Alabama,Overruled by," 1.  Williams v. State 
37 So. 228 , 140 Ala. 10 , Ala.
","June 02, 1904"
"Supreme Court of Alabama. November 18, 1902 134 Ala. 623 33 So. 9
Extracted from page: 5
","Millikin v. Carmichael, 134 Ala. 623, 33 So. 9, 92 Am. St. Rep. 45 (Ala. Nov. 18, 1902)
","Nov. 18, 1902",Alabama,Overruled by," 1.  Hale v. McGraw 
78 So. 214 , 201 Ala. 358 , Ala. , (NO. 6 DIV. 557 )
","Nov. 29, 1917"
