DOCUMENT INFORMATION,PRIMARY CASE INFORMATION,PRIMARY CASE DATE,STATE,TREATMENT,TREATED CASE INFORMATION,TREATED CASE DATE
"Supreme Court of Wisconsin. June 16, 1994 184 Wis.2d 750 517 N.W.2d 463
Extracted from page: 10
","City of Edgerton v. General Cas. Co. of Wisconsin, No. 91-1408, 184 Wis. 2d 750, 517 N.W.2d 463, 38 ERC 2039, 48 A.L.R.5th 803, 1994 WL 267717 (Wis. June 16, 1994)
","June 16, 1994",Wisconsin,Overruled by," 1.  Johnson Controls, Inc. v. Employers Ins. of Wausau  
665 N.W.2d 257 , 264 Wis.2d 60 , 2003 WI 108 , 57 ERC 1073 , Wis. , (NO. 01-1193 )
","July 11, 2003"
"Supreme Court of Wisconsin. May 13, 1994 183 Wis.2d 478 515 N.W.2d 863
Extracted from page: 11
","State v. Walkowiak, No. 92-1558-CR, 183 Wis. 2d 478, 515 N.W.2d 863, 1994 WL 189015 (Wis. May 13, 1994)
","May 13, 1994",Wisconsin,Overruled by," 1.  State v. Jennings  
647 N.W.2d 142 , 252 Wis.2d 228 , 2002 WI 44 , Wis. , (NO. 00-1680-CR )
","May 01, 2002"
"Supreme Court of Wisconsin. February 08, 1994 181 Wis.2d 410 511 N.W.2d 591
Extracted from page: 11
","State v. Stevens, No. 92-1557-CR, 181 Wis. 2d 410, 511 N.W.2d 591, 62 USLW 2536, 1994 WL 39460 (Wis. Feb. 08, 1994)
","Feb. 08, 1994",Wisconsin,Abrogated by," 1.  Richards v. Wisconsin 
117 S.Ct. 1416 , 520 U.S. 385 , 137 L.Ed.2d 615 , 65 USLW 4283 , 97 Cal. Daily Op. Serv. 3041 , 97 Daily Journal D.A.R. 5324 , 97 CJ C.A.R. 594 , 10 Fla. L. Weekly Fed. S 422 , U.S.Wis. , (NO. 96-5955 )
","Apr. 28, 1997"
"Supreme Court of Wisconsin. November 12, 1985 126 Wis.2d 284 375 N.W.2d 664
Extracted from page: 12
","Local 257 of Hotel and Restaurant Employees and Bartenders Intern. Union v. Wilson Street East Dinner Playhouse, Inc., No. 84-967, 126 Wis. 2d 284, 375 N.W.2d 664 (Wis. Nov. 12, 1985)
","Nov. 12, 1985",Wisconsin,Overruled by," 1.  State v. Richard Knutson, Inc. 
528 N.W.2d 430 , 191 Wis.2d 395 , Wis. , (NO. 93-1898-CR )
","Mar. 14, 1995"
"Supreme Court of Wisconsin. May 29, 1985 124 Wis.2d 72 368 N.W.2d 643
Extracted from page: 14
","Fobes v. Fobes, No. 83-1640, 124 Wis. 2d 72, 368 N.W.2d 643, 62 A.L.R.4th 169 (Wis. May 29, 1985)
","May 29, 1985",Wisconsin,Abrogated by," 1.  In re Marriage of Rohde-Giovanni v. Baumgart 
676 N.W.2d 452 , 269 Wis.2d 598 , 2004 WI 27 , Wis. , (NO. 01-3014 )
","Mar. 25, 2004"
"Supreme Court of Wisconsin. April 13, 1993 174 Wis.2d 705 497 N.W.2d 723
Extracted from page: 19
",Overruled by," 1.  State v. Richard Knutson, Inc. 
528 N.W.2d 430 , 191 Wis.2d 395 , Wis. , (NO. 93-1898-CR )
","Mar. 14, 1995"
"Supreme Court of Wisconsin. June 16, 1993 176 Wis.2d 921 501 N.W.2d 9
Extracted from page: 20
",Overruled by," 1.  State v. Harris  
557 N.W.2d 245 , 206 Wis.2d 243 , Wis. , (NO. 95-1595-CR , 95-1596-CR )
","Dec. 27, 1996"
"Supreme Court of Wisconsin. February 23, 1993 174 Wis.2d 173 495 N.W.2d 341
Extracted from page: 23
",Abrogated by," 1.  State v. Seefeldt  
661 N.W.2d 822 , 261 Wis.2d 383 , 2003 WI 47 , Wis. , (NO. 01-1969-CR )
","May 28, 2003"
"Supreme Court of Wisconsin. January 26, 1993 173 Wis.2d 529 494 N.W.2d 399
Extracted from page: 24
","State v. Bohling, No. 91-0811, 173 Wis. 2d 529, 494 N.W.2d 399, 1993 WL 15210 (Wis. Jan. 26, 1993)
","Jan. 26, 1993",Wisconsin,Abrogated by," 1.  Missouri v. McNeely 
133 S.Ct. 1552 , 569 U.S. 141 , 185 L.Ed.2d 696 , 81 USLW 4250 , 13 Cal. Daily Op. Serv. 3752 , 2013 Daily Journal D.A.R. 4918 , 24 Fla. L. Weekly Fed. S 150 , U.S.Mo. , (NO. 11-1425 )
","Apr. 17, 2013"
"Supreme Court of Wisconsin. December 04, 1956 274 Wis. 262 80 N.W.2d 230
Extracted from page: 26
","Hansen v. Hansen, 274 Wis. 262, 80 N.W.2d 230 (Wis. Dec. 04, 1956)
","Dec. 04, 1956",Wisconsin,Overruled by," 1.  Haumschild v. Continental Cas. Co. 
95 N.W.2d 814 , 7 Wis.2d 130 , Wis.
","Apr. 10, 1959"
