DOCUMENT INFORMATION,PRIMARY CASE INFORMATION,PRIMARY CASE DATE,STATE,TREATMENT,TREATED CASE INFORMATION,TREATED CASE DATE
"Supreme Court of Arkansas. May 02, 1988 295 Ark. 341 750 S.W.2d 936
Extracted from page: 18
","Mitchell v. State, No. CR87-155, 295 Ark. 341, 750 S.W.2d 936, 1988 WL 41580 (Ark. May 02, 1988)
","May 02, 1988",Arkansas,Abrogated by," 2.  Colbert v. State 
801 S.W.2d 643 , 304 Ark. 250 , Ark. , (NO. CR 90-179 )
","Dec. 21, 1990"
"Supreme Court of Arkansas. July 11, 1988 296 Ark. 181 754 S.W.2d 839
Extracted from page: 20
","Franz v. State, No. CR 88-76, 296 Ark. 181, 754 S.W.2d 839, 1988 WL 72603 (Ark. July 11, 1988)
","July 11, 1988",Arkansas,Overruled by," 1.  State v. Robbins  
5 S.W.3d 51 , 339 Ark. 379 , Ark. , (NO. CR 98-1394 )
","Dec. 02, 1999"
"Supreme Court of Arkansas. April 11, 1977 261 Ark. 331 553 S.W.2d 690
Extracted from page: 21
","Allen v. State, No. CR77-57, 261 Ark. 331, 553 S.W.2d 690 (Ark. Apr. 11, 1977)
","Apr. 11, 1977",Arkansas,Overruled by," 1.  Goodwin v. State 
552 S.W.2d 233 , 261 Ark. 926 , Ark. , (NO. CR77-85 )
","June 27, 1977"
"1. May 16, 1977 261 Ark. 619 550 S.W.2d 179
Extracted from page: 25
","Leak v. Graves, No. CR77-6, 261 Ark. 619, 550 S.W.2d 179 (Ark. May 16, 1977)
","May 16, 1977",Arkansas,Overruled by," 1.  Oliver v. State 
918 S.W.2d 690 , 323 Ark. 743 , Ark. , (NO. CR95-30 )
","Mar. 18, 1996"
"Banc. November 28, 1977 262 Ark. 492 559 S.W.2d 16
Extracted from page: 26
","Sutton v. State, No. CR77-154, 262 Ark. 492, 559 S.W.2d 16 (Ark. Nov. 28, 1977)
","Nov. 28, 1977",Arkansas,Overruled by," 1.  Grillot v. State 
107 S.W.3d 136 , 353 Ark. 294 , Ark. , (NO. CR01-00792 )
","May 22, 2003"
"Arkansas, Division No. 2. October 24, 1977 262 Ark. 342 557 S.W.2d 386
Extracted from page: 27
","King v. State, No. CR77-130, 262 Ark. 342, 557 S.W.2d 386 (Ark. Oct. 24, 1977)
","Oct. 24, 1977",Arkansas,Overruled by," 1.  State v. Brown  
156 S.W.3d 722 , 356 Ark. 460 , Ark. , (NO. CR 03-914 )
","Mar. 25, 2004"
"Banc. October 03, 1977 262 Ark. 256 556 S.W.2d 874
Extracted from page: 28
","Saunders v. City of Little Rock, No. 77-103, 262 Ark. 256, 556 S.W.2d 874, 1977 WL 511869 (Ark. Oct. 03, 1977)
","Oct. 03, 1977",Arkansas,Overruled by," 1.  Chappell v. City of Russellville 
704 S.W.2d 166 , 288 Ark. 261 , Ark. , (NO. 85-245 )
","Feb. 24, 1986"
"Banc. April 11, 1977 261 Ark. 413 549 S.W.2d 479
Extracted from page: 28
","Giles v. State, No. CR 75-209, 261 Ark. 413, 549 S.W.2d 479 (Ark. Apr. 11, 1977)
","Apr. 11, 1977",Arkansas,Overruled by," 1.  Grillot v. State 
107 S.W.3d 136 , 353 Ark. 294 , Ark. , (NO. CR01-00792 )
","May 22, 2003"
"Supreme Court of Arkansas. June 30, 1913 109 Ark. 77 158 S.W. 955
Extracted from page: 30
","Beal-Doyle Dry Goods Co. v. Odd Fellows Bldg. Co., 109 Ark. 77, 158 S.W. 955 (Ark. June 30, 1913)
","June 30, 1913",Arkansas,Overruled by," 1.  Anheuser-Busch v. Manion 
100 S.W.2d 672 , 193 Ark. 405 , Ark. , (NO. 4-4494 )
","Jan. 11, 1937"
"Supreme Court of Arkansas. September 20, 2001 346 Ark. 33 57 S.W.3d 124
Extracted from page: 4
","Bunch v. State, No. CR 01-326, 346 Ark. 33, 57 S.W.3d 124, 2001 WL 1099788 (Ark. Sep. 20, 2001)
","Sep. 20, 2001",Arkansas,Overruled by," 1.  Grillot v. State 
107 S.W.3d 136 , 353 Ark. 294 , Ark. , (NO. CR01-00792 )
","May 22, 2003"
